subject,rt,correct,jitter,noise,n200trialerp_c1r,n200trialerplat_c1r,p200trialerp_c1n,p200trialerplat_c1n,goodtrials
1,1,755,60,0.6,-31.278954869091,149.9765625,45.734056484709,153.8828125,1
1,1,473,70,0.45,-102.284512430477,230.0546875,53.5132997843658,205.640625,1
1,1,541,80,0.45,-117.209360132133,155.8359375,63.372275894689,224.1953125,1
1,1,627,70,0.3,-90.2597037074195,204.6640625,64.1332682087607,208.5703125,1
1,1,507,70,0.3,-105.881840196714,181.2265625,106.928068224404,225.171875,1
1,1,720,70,0.45,-49.5771971082148,187.0859375,151.991393534519,230.0546875,1
1,1,581,60,0.45,-50.6210573301812,252.515625,65.1233674721541,198.8046875,1
1,1,643,60,0.6,-126.700946154582,274.9765625,59.0136601975302,190.9921875,1
1,1,721,60,0.45,-70.3086923323758,268.140625,53.9333849279899,238.84375,1
1,NaN,NaN,80,0.3,-34.5185051002926,204.6640625,92.6792559584915,181.2265625,0
1,1,599,60,0.45,-55.1494468725751,203.6875,149.016684484713,266.1875,1
1,1,686,80,0.6,-55.2144118530877,256.421875,99.5067584003102,176.34375,1
1,1,641,70,0.45,-72.7232268137185,181.2265625,54.8194797199824,193.921875,1
1,1,672,60,0.6,-61.5249397346253,274.9765625,86.0133843989733,211.5,1
1,1,539,70,0.3,-61.9450241415411,223.21875,59.4215580225356,188.0625,1
1,0,579,80,0.3,-110.530985028924,207.59375,75.7093599419338,230.0546875,1
1,1,639,70,0.6,-10.638933150904,228.1015625,61.8732154921096,186.109375,1
1,1,696,60,0.45,-128.667104355922,261.3046875,46.8919330544713,250.5625,1
1,1,537,60,0.45,-112.959638751846,222.2421875,51.4468094550594,211.5,1
1,1,647,80,0.45,-85.0316753047055,258.375,51.5432328830952,272.046875,1
1,1,602,70,0.6,-81.9367648892073,241.7734375,59.2218595534672,201.734375,1
1,1,917,80,0.3,-96.3836559803223,253.4921875,52.631742144844,221.265625,1
1,0,777,70,0.45,-116.767474553016,190.9921875,66.0267403408037,219.3125,1
1,1,616,70,0.6,-148.404885514868,197.828125,83.0338771569937,179.2734375,1
1,1,579,80,0.45,-72.0198247662895,162.671875,92.5301927447049,250.5625,1
1,1,677,60,0.6,-40.8650193302943,256.421875,59.0739657350605,164.625,1
1,1,764,60,0.6,-137.035962314171,270.09375,67.5289378251483,211.5,1
1,1,800,80,0.3,-98.6849483830904,211.5,58.0754206753477,270.09375,1
1,1,629,60,0.3,-83.0224591086886,190.015625,32.2920826453148,252.515625,1
1,1,586,60,0.6,-62.2456247172665,269.1171875,30.8054920120996,259.3515625,1
1,1,963,80,0.3,-42.6344948354308,232.0078125,50.1618758305492,170.484375,1
1,1,710,60,0.45,-94.6348438918582,221.265625,59.0580470543929,232.0078125,1
1,1,691,80,0.6,-124.774903546936,196.8515625,34.3548955469524,242.75,1
1,1,559,70,0.45,-61.8692745844786,245.6796875,45.3024110441475,227.125,1
1,1,712,60,0.45,-62.9781685498255,224.1953125,81.0237597028262,229.078125,1
1,1,727,60,0.6,-111.450914115358,164.625,56.9223845022763,195.875,1
1,1,684,60,0.45,-164.045002013317,200.7578125,62.949715645634,246.65625,1
1,1,447,70,0.6,-50.2445625136046,231.03125,40.105038908731,190.9921875,1
1,1,672,70,0.45,-89.9877060348353,191.96875,159.023762275014,221.265625,1
1,1,575,80,0.6,-64.944670212971,157.7890625,30.6201088626417,274.9765625,1
1,1,524,80,0.3,-150.509036605978,251.5390625,60.7579412696164,255.4453125,1
1,1,461,60,0.45,-78.3132710941449,236.890625,83.226312031006,198.8046875,1
1,1,701,70,0.45,-176.04453606972,190.015625,46.718929806458,206.6171875,1
1,1,701,70,0.45,-72.8819391310236,274.9765625,2.03731427110048,221.265625,1
1,1,543,60,0.3,-97.2519080415414,229.078125,117.224869352316,242.75,1
1,0,708,80,0.45,-66.1597731526792,187.0859375,78.8720409507625,231.03125,1
1,1,665,60,0.45,-20.0975437797371,176.34375,17.18643985686,195.875,1
1,1,838,80,0.6,-11.6057628202154,262.28125,35.5333523154808,235.9140625,1
1,0,844,80,0.6,-57.3900239794355,157.7890625,14.8193393518193,171.4609375,1
1,1,499,70,0.45,-107.308768238018,200.7578125,99.8034178783358,188.0625,1
1,1,881,60,0.6,-127.819553064223,216.3828125,66.7990264175954,180.25,1
1,1,774,60,0.45,-40.322547837252,235.9140625,85.047752436384,230.0546875,1
1,1,672,80,0.6,-73.3799138508386,149.9765625,96.0790469294666,155.8359375,1
1,1,927,70,0.3,-48.3363930377633,250.5625,39.8528929376441,196.8515625,1
1,1,1058,70,0.6,-150.944636291422,241.7734375,118.126724591822,178.296875,1
1,1,713,60,0.6,-25.7233294263019,149.9765625,50.3414136604321,224.1953125,1
1,1,790,70,0.45,-75.1221293376906,266.1875,49.9645038751308,274.9765625,1
1,1,802,70,0.6,-68.949834994562,272.046875,51.372738075331,172.4375,1
1,1,868,70,0.6,-14.4606267097021,195.875,32.8111236545135,250.5625,1
1,1,679,70,0.6,-37.1767514816902,152.90625,54.8406801124747,207.59375,1
1,1,809,70,0.45,-78.0055574961914,256.421875,68.7233742268148,229.078125,1
1,1,663,60,0.45,-87.5129954223243,272.046875,28.9254759326267,218.3359375,1
1,0,929,80,0.6,-73.063648740248,274.9765625,47.418726804796,172.4375,1
1,1,606,70,0.6,-70.3866175275517,188.0625,71.4788322233591,231.03125,1
1,1,414,60,0.3,-65.1517724098467,160.71875,63.5289530211655,200.7578125,1
1,1,409,70,0.3,-112.344436769409,164.625,56.7682178780008,196.8515625,0
1,1,739,70,0.3,-91.0885262519241,216.3828125,55.3424498128924,234.9375,1
1,1,570,70,0.45,-35.101597157865,274.9765625,98.6858115558231,241.7734375,1
1,1,815,60,0.6,-92.2093825038243,269.1171875,123.131503316335,156.8125,1
1,1,549,80,0.3,-98.460060060006,173.4140625,79.7520808106487,149.9765625,1
1,1,538,80,0.45,-75.2258473588571,273.0234375,0.443015946592592,232.984375,1
1,1,845,80,0.6,-47.3420554618902,249.5859375,70.9918845499534,198.8046875,1
1,1,536,70,0.3,-77.4186366396305,225.171875,96.6873761713046,229.078125,1
1,1,506,60,0.3,-120.809691196349,190.015625,111.148754172441,212.4765625,1
1,1,524,60,0.3,-71.6797676928561,238.84375,62.5976522120056,245.6796875,1
1,1,648,80,0.45,-78.6840548418416,224.1953125,124.486737250798,236.890625,1
1,1,726,80,0.6,-73.4818669294222,197.828125,57.7317035692684,231.03125,1
1,1,578,60,0.3,-108.47801011059,187.0859375,59.3157645512188,228.1015625,1
1,1,541,80,0.6,-47.3052607660878,274.9765625,40.0383280429125,208.5703125,1
1,1,596,80,0.45,-64.93048717937,258.375,63.4722039122666,235.9140625,1
1,1,616,60,0.6,-50.0563641542255,255.4453125,40.2971624786143,274.9765625,1
1,1,601,70,0.6,-42.6060249138226,274.9765625,24.8614734627241,202.7109375,1
1,1,663,70,0.6,-47.8987648404388,175.3671875,30.5421572446774,186.109375,1
1,1,501,70,0.6,-56.662378391724,162.671875,50.6125931417785,187.0859375,1
1,1,543,80,0.6,-57.9674089075062,206.6171875,59.9764706782094,165.6015625,1
1,1,498,70,0.3,-67.8939469381602,246.65625,106.906671368403,149.9765625,1
1,1,465,70,0.3,-70.6584862120713,234.9375,33.9731293829639,200.7578125,1
1,1,491,60,0.6,-56.4908319044546,201.734375,57.7308753493899,231.03125,1
1,1,532,80,0.45,-94.9729376042476,149.9765625,69.1006026032226,273.0234375,1
1,NaN,NaN,60,0.6,-46.863521626796,185.1328125,73.9025464438935,233.9609375,0
1,1,875,60,0.3,-102.976399954584,228.1015625,75.6065266203644,209.546875,1
1,0,997,60,0.6,-34.2389795370363,173.4140625,98.0619847719486,241.7734375,1
1,1,654,60,0.6,-58.2811979074222,274.9765625,46.2779731174312,233.9609375,1
1,1,704,70,0.45,-49.4105344600452,254.46875,78.7538803091907,268.140625,1
1,1,662,60,0.6,-56.8071653448513,274.9765625,89.8098387870053,185.1328125,1
1,1,586,80,0.45,-82.1668103252544,206.6171875,24.5773995600865,226.1484375,1
1,0,1341,80,0.45,-111.988644601805,211.5,69.1012326123722,232.0078125,1
1,1,540,80,0.45,-125.193107643157,161.6953125,84.38785741829,194.8984375,1
1,1,561,70,0.6,-130.536117827115,186.109375,28.1171886713635,201.734375,1
1,1,547,60,0.3,-106.18058914669,195.875,80.1717703356285,202.7109375,1
1,1,520,60,0.3,-63.8673414644863,269.1171875,88.0851646342162,226.1484375,1
1,0,1079,70,0.3,-48.4213648463364,249.5859375,117.40197451997,234.9375,1
1,1,534,70,0.3,-78.0801781112181,175.3671875,63.3993282763625,188.0625,1
1,1,577,70,0.6,-97.674533613712,152.90625,46.9322010998002,169.5078125,1
1,1,774,70,0.6,-57.7762080448962,159.7421875,43.7638640612116,197.828125,1
1,1,610,80,0.45,-142.62199350047,236.890625,74.8030501339703,201.734375,1
1,1,578,80,0.6,-55.3038410771511,242.75,74.3113381062957,247.6328125,1
1,1,498,60,0.3,-114.752771702423,171.4609375,128.042304272745,187.0859375,1
1,1,751,70,0.45,-71.741149521933,207.59375,108.055592824474,171.4609375,1
1,0,858,80,0.3,-68.5252823460789,170.484375,102.673885021317,211.5,1
1,1,578,60,0.45,-104.991471148079,169.5078125,131.699378557725,188.0625,1
1,1,871,60,0.6,-156.391349076444,274.9765625,142.346565966176,227.125,1
1,1,531,60,0.3,-166.793050281191,193.921875,110.626241206825,169.5078125,1
1,1,597,70,0.45,-71.4270594257598,198.8046875,24.2059929860155,238.84375,1
1,1,504,60,0.3,-86.6794809790294,152.90625,68.2272632047184,240.796875,1
1,1,496,60,0.45,-53.8414134809671,245.6796875,-16.2408209297398,271.0703125,1
1,1,1073,70,0.6,-20.4390372890595,207.59375,93.1686639312675,215.40625,1
1,1,580,70,0.45,-92.0955042863953,210.5234375,40.112662598562,183.1796875,1
1,1,724,70,0.3,-83.1318697484543,274.9765625,52.1787687134636,181.2265625,1
1,1,563,60,0.45,-58.744316831392,232.984375,73.0361874333786,244.703125,1
1,1,453,80,0.3,-79.1340582123216,165.6015625,98.2662788376151,224.1953125,1
1,1,530,80,0.45,-82.4487185335709,161.6953125,58.0007847661291,229.078125,1
1,1,727,70,0.3,-113.381806268856,251.5390625,53.9963865909157,200.7578125,1
1,1,608,80,0.45,-31.3264544895274,274.9765625,65.493726471995,190.9921875,1
1,1,704,60,0.45,-89.2604074226889,264.234375,114.419134566923,237.8671875,1
1,1,602,80,0.3,-84.5487218798225,256.421875,32.6852024793377,188.0625,1
1,1,540,70,0.3,-81.4298946299178,211.5,67.9069241247286,236.890625,1
1,1,606,70,0.45,-34.5709374762235,222.2421875,81.3177456037028,163.6484375,1
1,1,482,80,0.3,-111.445581734989,227.125,72.5053532519357,151.9296875,1
1,0,1092,60,0.6,-95.170597140197,210.5234375,126.87535750361,215.40625,1
1,0,926,80,0.6,-49.7074749742014,169.5078125,91.0655334699188,202.7109375,1
1,1,576,70,0.3,-105.182679465928,194.8984375,99.2309096633947,217.359375,1
1,1,580,70,0.3,-74.5956382823161,233.9609375,78.179741286475,227.125,1
1,1,1320,80,0.3,-146.636518313867,223.21875,106.816954921163,188.0625,1
1,1,538,70,0.6,-95.0619308712606,203.6875,112.10086317464,188.0625,1
1,1,557,70,0.6,-130.133000563979,267.1640625,55.0585315327803,248.609375,1
1,1,671,70,0.6,-88.7082174174238,162.671875,79.937004108251,206.6171875,1
1,1,497,60,0.6,-71.9940435665202,228.1015625,30.0063590682886,182.203125,1
1,1,712,80,0.3,-89.3200873374666,235.9140625,63.3532646695738,181.2265625,1
1,1,499,60,0.3,-108.172529015505,179.2734375,46.151604989445,209.546875,1
1,1,558,70,0.45,-99.8374796027994,274.9765625,59.2415960582985,195.875,1
1,1,578,60,0.6,-114.004640379088,194.8984375,107.511103465613,206.6171875,1
1,1,651,80,0.45,-60.7285564030456,272.046875,73.4798698212077,229.078125,1
1,1,655,60,0.6,-38.2936524493758,211.5,25.6173755558173,204.6640625,1
1,1,487,60,0.3,-83.3332510287024,197.828125,23.2600029517377,234.9375,1
1,NaN,NaN,70,0.6,-54.1368900297921,245.6796875,35.2146905700079,208.5703125,0
1,1,497,70,0.3,-134.305218472236,192.9453125,30.5532214821916,150.953125,1
1,1,792,70,0.3,-65.7171171738205,224.1953125,37.4349119259073,244.703125,1
1,1,554,80,0.3,-63.0900382645137,197.828125,79.3536714002843,228.1015625,1
1,1,607,70,0.45,-80.3554932463005,190.9921875,72.0111213008768,231.03125,1
1,1,521,70,0.3,-92.2530568727468,232.0078125,36.5914817910772,234.9375,1
1,1,600,80,0.6,-23.4582163973783,155.8359375,131.619086658978,190.9921875,1
1,1,559,80,0.45,-103.909380416186,149.9765625,27.0286346733987,242.75,1
1,0,681,70,0.6,-47.4249484832766,180.25,136.246053090729,219.3125,1
1,1,567,80,0.3,-244.11084072747,192.9453125,121.376964643627,255.4453125,1
1,1,520,60,0.6,-70.7931642721522,193.921875,57.4047243013066,183.1796875,1
1,1,509,80,0.3,-144.465839791141,163.6484375,38.2863995067003,267.1640625,1
1,1,524,70,0.6,-117.492647039493,232.984375,87.0580245599119,197.828125,1
1,1,443,80,0.3,-145.790722883962,221.265625,82.3836529503706,189.0390625,1
1,1,605,60,0.6,-152.419994729259,236.890625,77.2595260503129,241.7734375,1
1,1,540,60,0.6,-55.6359512079555,189.0390625,12.5059003259285,211.5,1
1,1,472,80,0.3,-145.64940802793,151.9296875,32.1044829208507,190.015625,1
1,1,533,70,0.6,-59.3136241043544,153.8828125,90.3762112036462,203.6875,1
1,1,534,80,0.45,-105.102505545593,194.8984375,76.7984296325665,217.359375,1
1,1,579,60,0.3,-96.2585156064394,190.9921875,106.899598982523,224.1953125,1
1,1,610,60,0.3,-83.5597092973557,184.15625,60.0576521633332,220.2890625,1
1,1,482,60,0.3,-101.567246386136,206.6171875,58.0737166515473,217.359375,1
1,1,594,60,0.6,-109.926592687478,156.8125,61.8395123754525,240.796875,1
1,1,590,60,0.45,-91.5603232895156,184.15625,121.650042056162,175.3671875,1
1,1,512,70,0.3,-94.1973765645047,243.7265625,136.749162699744,217.359375,1
1,1,490,60,0.45,-131.434977117855,185.1328125,95.7148899724332,182.203125,1
1,1,591,60,0.6,-94.5741268003629,199.78125,143.339011139253,200.7578125,1
1,1,575,70,0.3,-156.777836316484,176.34375,49.849167497307,254.46875,1
1,1,605,70,0.45,-124.207857640714,215.40625,157.708325452066,227.125,1
1,1,566,60,0.3,-116.413209125818,199.78125,116.092340829387,210.5234375,1
1,1,540,60,0.45,-93.9079778907343,228.1015625,51.0977616814641,232.984375,1
1,1,567,70,0.45,-74.604249643121,196.8515625,58.8334874984292,202.7109375,1
1,1,748,80,0.45,-54.6377314304421,258.375,85.0596783186403,237.8671875,1
1,1,502,60,0.3,-137.094640742547,226.1484375,126.802638865366,241.7734375,1
1,1,532,70,0.3,-61.4229321681559,200.7578125,74.3338160374818,229.078125,1
1,1,564,70,0.45,-70.9632649708767,212.4765625,53.4925747010562,236.890625,1
1,1,599,80,0.45,-80.553916245129,207.59375,112.760011751422,236.890625,1
1,1,551,60,0.45,-74.6056133615094,178.296875,83.5328698844887,164.625,1
1,1,879,70,0.6,-65.7067627149377,219.3125,40.7718311814222,172.4375,1
1,1,603,80,0.45,-126.613260553027,274.9765625,70.824957518942,231.03125,1
1,1,605,70,0.45,-86.8660464263358,272.046875,81.1357455480067,235.9140625,1
1,1,489,70,0.3,-66.781107866193,201.734375,112.678346800287,203.6875,1
1,1,455,80,0.3,-171.295297119145,152.90625,99.8290366464613,154.859375,1
1,1,822,80,0.45,-97.5264393038026,203.6875,109.880220674222,215.40625,1
1,1,555,80,0.3,-87.3558703638724,192.9453125,51.0634522636016,187.0859375,1
1,1,499,60,0.45,-93.5082630012753,274.9765625,58.7419761319459,166.578125,1
1,1,528,80,0.6,-135.605978351623,174.390625,40.3587703574179,214.4296875,1
1,1,483,70,0.45,-63.8196897909405,192.9453125,53.728946879475,263.2578125,1
1,1,646,70,0.45,-35.1109598358137,188.0625,91.0271636229653,215.40625,1
1,1,486,70,0.3,-172.778028926591,218.3359375,129.886453357093,206.6171875,1
1,1,632,60,0.3,-89.1892954028213,197.828125,58.7458360531426,156.8125,1
1,1,668,70,0.45,-126.653166508327,219.3125,126.358130668172,224.1953125,1
1,1,706,70,0.45,-89.6188930163405,224.1953125,43.6173672392762,151.9296875,1
1,1,672,70,0.3,-69.6647873576509,193.921875,42.4061828029761,249.5859375,1
1,1,704,60,0.6,-70.5164198515442,185.1328125,72.9859983950734,226.1484375,1
1,1,505,70,0.3,-130.837115895524,176.34375,112.246659451708,253.4921875,1
1,1,544,70,0.45,-90.5842309313379,244.703125,136.78916183443,176.34375,1
1,1,779,60,0.3,-169.215166158723,205.640625,24.9545492027632,175.3671875,1
1,1,635,80,0.6,-53.8371160203375,204.6640625,73.2784657237636,177.3203125,1
1,1,602,80,0.45,-62.1589911174084,232.0078125,74.8989545870483,193.921875,1
1,1,639,60,0.45,-161.982763503507,270.09375,64.2073783237085,232.0078125,1
1,1,684,80,0.6,-89.9634766951245,164.625,101.911370266565,219.3125,1
